targetMuscle,title,path_url,exercise_id,exercise_name,targetMuscles_api,secondaryMuscles_api,bodyParts_api,equipments_api,gif_url,match_score,status,search_text
abs,4 Point Tummy Vacuum Exercise,data/4-Point-Tummy-Vacuum-Exercise.gif,2Ryn564,assisted prone rectus femoris stretch,"[""abs""]","[""quadriceps""]","[""waist""]","[""assisted""]",https://static.exercisedb.dev/media/2Ryn564.gif,53.94,matched,"assisted prone rectus femoris stretch [""abs""] [""quadriceps""]"
abs,Seated Flutter Kick,data/Seated-Flutter-Kick.gif,8xUv4J7,cable seated crunch,"[""abs""]","[""obliques""]","[""waist""]","[""cable""]",https://static.exercisedb.dev/media/8xUv4J7.gif,66.32,matched,"cable seated crunch [""abs""] [""obliques""]"
abs,Seated Cable Twist,data/Seated-Cable-Twist.gif,8xUv4J7,cable seated crunch,"[""abs""]","[""obliques""]","[""waist""]","[""cable""]",https://static.exercisedb.dev/media/8xUv4J7.gif,84.0,matched,"cable seated crunch [""abs""] [""obliques""]"
abs,Bodyweight Kneeling Sissy Squat,data/Bodyweight-Kneeling-Sissy-Squat.gif,75Bgtjy,potty squat,"[""abs""]","[""quadriceps"", ""glutes""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/75Bgtjy.gif,70.0,matched,"potty squat [""abs""] [""quadriceps"", ""glutes""]"
abs,Bow Pose,data/Bow-Pose.gif,5VXmnV5,bodyweight incline side plank,"[""abs""]","[""obliques"", ""shoulders""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/5VXmnV5.gif,50.27,matched,"bodyweight incline side plank [""abs""] [""obliques"", ""shoulders""]"
abs,Kneeling T-spine Rotation,data/Kneeling-T-spine-Rotation.gif,2jl9K55,spine twist,"[""abs""]","[""obliques"", ""lower back""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/2jl9K55.gif,70.0,matched,"spine twist [""abs""] [""obliques"", ""lower back""]"
abs,Standing Barbell Rollout,data/Standing-Barbell-Rollout.gif,7M66AVi,barbell rollerout,"[""abs""]","[""lower back""]","[""waist""]","[""barbell""]",https://static.exercisedb.dev/media/7M66AVi.gif,78.54,matched,"barbell rollerout [""abs""] [""lower back""]"
abs,Side Plank Oblique Crunch,data/Side-Plank-Oblique-Crunch.gif,9Ap7miY,decline crunch,"[""abs""]","[""hip flexors""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/9Ap7miY.gif,68.0,matched,"decline crunch [""abs""] [""hip flexors""]"
abs,Medicine Ball-Sit-up Throw,data/Medicine-Ball-Sit-up-Throw.gif,2gPfomN,3/4 sit-up,"[""abs""]","[""hip flexors"", ""lower back""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/2gPfomN.gif,80.0,matched,"3/4 sit-up [""abs""] [""hip flexors"", ""lower back""]"
abs,Side Bent,data/Side-Bent.gif,5VXmnV5,bodyweight incline side plank,"[""abs""]","[""obliques"", ""shoulders""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/5VXmnV5.gif,69.23,matched,"bodyweight incline side plank [""abs""] [""obliques"", ""shoulders""]"
